Sample 1 - CPU:  87.10 - MEM: 233.97
Sample 2 - CPU:  85.10 - MEM: 233.98
Sample 3 - CPU:  87.10 - MEM: 234.01
Sample 4 - CPU:  85.40 - MEM: 234.05
Sample 5 - CPU:  87.00 - MEM: 234.05
Sample 6 - CPU:  85.70 - MEM: 234.05
Sample 7 - CPU:  87.50 - MEM: 234.06
Sample 8 - CPU:  85.90 - MEM: 234.07
Sample 9 - CPU:  87.60 - MEM: 234.07
Sample 10 - CPU:  86.20 - MEM: 234.07
Sample 11 - CPU:  87.70 - MEM: 234.07
Sample 12 - CPU:  86.30 - MEM: 234.07
Sample 13 - CPU:  87.80 - MEM: 234.07
Sample 14 - CPU:  86.50 - MEM: 234.07
Sample 15 - CPU:  87.90 - MEM: 234.07
Sample 16 - CPU:  86.40 - MEM: 234.07
Sample 17 - CPU:  87.70 - MEM: 234.07
Sample 18 - CPU:  86.30 - MEM: 234.07
Sample 19 - CPU:  87.90 - MEM: 234.07
Sample 20 - CPU:  86.80 - MEM: 234.07
Sample 21 - CPU:  88.20 - MEM: 234.07
Sample 22 - CPU:  86.90 - MEM: 234.07
Sample 23 - CPU:  88.30 - MEM: 234.07
Sample 24 - CPU:  87.10 - MEM: 234.07
Sample 25 - CPU:  88.30 - MEM: 234.07
Sample 26 - CPU:  87.20 - MEM: 234.07
Sample 27 - CPU:  85.90 - MEM: 234.07
Sample 28 - CPU:  87.20 - MEM: 234.07
Sample 29 - CPU:  86.10 - MEM: 234.07
Sample 30 - CPU:  87.30 - MEM: 234.07
Sample 31 - CPU:  86.30 - MEM: 234.07
Sample 32 - CPU:  87.30 - MEM: 234.07
Sample 33 - CPU:  86.20 - MEM: 234.07
Sample 34 - CPU:  87.20 - MEM: 234.07
Sample 35 - CPU:  86.00 - MEM: 234.07
Sample 36 - CPU:  87.00 - MEM: 234.07
Sample 37 - CPU:  85.90 - MEM: 234.07
Sample 38 - CPU:  86.90 - MEM: 234.07
Sample 39 - CPU:  85.90 - MEM: 234.07
Sample 40 - CPU:  86.90 - MEM: 234.07
Sample 41 - CPU:  85.90 - MEM: 234.07
Sample 42 - CPU:  86.90 - MEM: 234.07
Sample 43 - CPU:  85.90 - MEM: 234.07
Sample 44 - CPU:  86.90 - MEM: 234.07
Sample 45 - CPU:  86.20 - MEM: 234.07
Sample 46 - CPU:  87.20 - MEM: 234.07
Sample 47 - CPU:  86.30 - MEM: 234.07
Sample 48 - CPU:  87.30 - MEM: 234.07
Sample 49 - CPU:  86.40 - MEM: 234.07
Sample 50 - CPU:  87.40 - MEM: 234.07
Sample 51 - CPU:  86.60 - MEM: 234.07
Sample 52 - CPU:  87.60 - MEM: 234.07
Sample 53 - CPU:  86.80 - MEM: 234.07
Sample 54 - CPU:  86.00 - MEM: 234.07
Sample 55 - CPU:  86.80 - MEM: 234.07
Sample 56 - CPU:  86.00 - MEM: 234.07
Sample 57 - CPU:  86.90 - MEM: 234.07
Sample 58 - CPU:  86.20 - MEM: 234.07
