Sample 1 - CPU:  95.00 - MEM: 266.00
Sample 2 - CPU:  96.60 - MEM: 266.00
Sample 3 - CPU:  94.50 - MEM: 266.01
Sample 4 - CPU:  96.30 - MEM: 266.02
Sample 5 - CPU:  94.50 - MEM: 266.02
Sample 6 - CPU:  96.30 - MEM: 266.02
Sample 7 - CPU:  94.50 - MEM: 266.02
Sample 8 - CPU:  92.90 - MEM: 266.02
Sample 9 - CPU:  94.50 - MEM: 266.02
Sample 10 - CPU:  92.80 - MEM: 266.02
Sample 11 - CPU:  94.30 - MEM: 266.02
Sample 12 - CPU:  92.80 - MEM: 266.02
Sample 13 - CPU:  94.20 - MEM: 266.02
Sample 14 - CPU:  92.70 - MEM: 266.02
Sample 15 - CPU:  94.20 - MEM: 266.02
Sample 16 - CPU:  92.90 - MEM: 266.02
Sample 17 - CPU:  94.00 - MEM: 266.02
Sample 18 - CPU:  92.70 - MEM: 266.02
Sample 19 - CPU:  94.00 - MEM: 266.02
Sample 20 - CPU:  92.50 - MEM: 266.02
Sample 21 - CPU:  93.70 - MEM: 266.02
Sample 22 - CPU:  92.40 - MEM: 266.02
Sample 23 - CPU:  93.60 - MEM: 266.02
Sample 24 - CPU:  92.40 - MEM: 266.02
Sample 25 - CPU:  93.70 - MEM: 266.02
Sample 26 - CPU:  92.40 - MEM: 266.02
Sample 27 - CPU:  93.60 - MEM: 266.02
Sample 28 - CPU:  92.50 - MEM: 266.02
Sample 29 - CPU:  93.80 - MEM: 266.02
Sample 30 - CPU:  92.70 - MEM: 266.02
Sample 31 - CPU:  91.50 - MEM: 266.02
Sample 32 - CPU:  92.60 - MEM: 266.02
Sample 33 - CPU:  91.50 - MEM: 266.02
Sample 34 - CPU:  92.60 - MEM: 266.02
Sample 35 - CPU:  91.50 - MEM: 266.02
Sample 36 - CPU:  92.60 - MEM: 266.02
Sample 37 - CPU:  91.60 - MEM: 266.02
Sample 38 - CPU:  92.60 - MEM: 266.02
Sample 39 - CPU:  91.60 - MEM: 266.02
Sample 40 - CPU:  92.70 - MEM: 266.02
Sample 41 - CPU:  91.60 - MEM: 266.02
Sample 42 - CPU:  92.60 - MEM: 266.02
Sample 43 - CPU:  91.60 - MEM: 266.02
Sample 44 - CPU:  92.60 - MEM: 266.02
Sample 45 - CPU:  91.60 - MEM: 266.02
Sample 46 - CPU:  92.60 - MEM: 266.02
Sample 47 - CPU:  91.70 - MEM: 266.02
Sample 48 - CPU:  92.50 - MEM: 266.02
Sample 49 - CPU:  91.70 - MEM: 266.02
Sample 50 - CPU:  92.50 - MEM: 266.02
Sample 51 - CPU:  91.70 - MEM: 266.02
Sample 52 - CPU:  92.60 - MEM: 266.02
Sample 53 - CPU:  91.60 - MEM: 266.02
Sample 54 - CPU:  92.40 - MEM: 266.02
Sample 55 - CPU:  91.60 - MEM: 266.02
Sample 56 - CPU:  92.40 - MEM: 266.02
Sample 57 - CPU:  91.60 - MEM: 266.02
Sample 58 - CPU:  92.40 - MEM: 266.02
