Sample 1 - CPU:   7.20 - MEM: 259.12
Sample 2 - CPU:   7.20 - MEM: 259.15
Sample 3 - CPU:   7.20 - MEM: 259.17
Sample 4 - CPU:   7.20 - MEM: 259.17
Sample 5 - CPU:   7.20 - MEM: 259.17
Sample 6 - CPU:   7.20 - MEM: 259.18
Sample 7 - CPU:   7.30 - MEM: 259.18
Sample 8 - CPU:   7.30 - MEM: 259.18
Sample 9 - CPU:   7.30 - MEM: 259.18
Sample 10 - CPU:   7.30 - MEM: 259.12
Sample 11 - CPU:   7.30 - MEM: 259.12
Sample 12 - CPU:   7.30 - MEM: 259.12
Sample 13 - CPU:   7.30 - MEM: 259.12
Sample 14 - CPU:   7.30 - MEM: 259.12
Sample 15 - CPU:   7.30 - MEM: 259.12
Sample 16 - CPU:   7.30 - MEM: 259.12
Sample 17 - CPU:   7.30 - MEM: 259.12
Sample 18 - CPU:   7.30 - MEM: 259.12
Sample 19 - CPU:   7.30 - MEM: 259.12
Sample 20 - CPU:   7.30 - MEM: 259.12
Sample 21 - CPU:   7.30 - MEM: 259.12
Sample 22 - CPU:   7.30 - MEM: 259.12
Sample 23 - CPU:   7.30 - MEM: 259.12
Sample 24 - CPU:   7.30 - MEM: 259.12
Sample 25 - CPU:   7.30 - MEM: 259.12
Sample 26 - CPU:   7.30 - MEM: 259.12
Sample 27 - CPU:   7.30 - MEM: 259.12
Sample 28 - CPU:   7.30 - MEM: 259.12
Sample 29 - CPU:   7.30 - MEM: 259.12
Sample 30 - CPU:   7.30 - MEM: 259.12
Sample 31 - CPU:   7.30 - MEM: 259.12
Sample 32 - CPU:   7.30 - MEM: 259.12
Sample 33 - CPU:   7.30 - MEM: 259.12
Sample 34 - CPU:   7.30 - MEM: 259.12
Sample 35 - CPU:   7.30 - MEM: 259.12
Sample 36 - CPU:   7.30 - MEM: 259.12
Sample 37 - CPU:   7.30 - MEM: 259.12
Sample 38 - CPU:   7.30 - MEM: 259.12
Sample 39 - CPU:   7.30 - MEM: 259.12
Sample 40 - CPU:   7.30 - MEM: 259.12
Sample 41 - CPU:   7.30 - MEM: 259.12
Sample 42 - CPU:   7.30 - MEM: 259.12
Sample 43 - CPU:   7.30 - MEM: 259.12
Sample 44 - CPU:   7.30 - MEM: 259.12
Sample 45 - CPU:   7.30 - MEM: 259.12
Sample 46 - CPU:   7.30 - MEM: 259.12
Sample 47 - CPU:   7.30 - MEM: 259.12
Sample 48 - CPU:   7.30 - MEM: 259.12
Sample 49 - CPU:   7.30 - MEM: 259.12
Sample 50 - CPU:   7.30 - MEM: 259.12
Sample 51 - CPU:   7.30 - MEM: 259.12
Sample 52 - CPU:   7.30 - MEM: 259.12
Sample 53 - CPU:   7.30 - MEM: 259.12
Sample 54 - CPU:   7.30 - MEM: 259.12
Sample 55 - CPU:   7.30 - MEM: 259.12
Sample 56 - CPU:   7.30 - MEM: 259.12
Sample 57 - CPU:   7.30 - MEM: 259.12
Sample 58 - CPU:   7.30 - MEM: 259.12
