5831554586651;0;1.0
5831604899008;1;2.0
5831640823204;2;3.0
5831662674254;3;4.0
5831761608027;4;5.0
5831865252208;5;6.0
5831896161988;6;7.0
5831926609330;7;8.0
5831962199884;8;9.0
5831993509871;9;10.0
5832022102794;10;11.0
5832059206637;11;12.0
5832076192739;12;13.0
5832175085422;13;14.0
5832195096326;14;15.0
5832225724322;15;16.0
5832246917337;16;17.0
5832353658183;17;18.0
5832374146018;18;19.0
5832395521661;19;20.0
5832418282581;20;21.0
5832441414476;21;22.0
5832463525938;22;23.0
5832489549410;23;24.0
5832511468592;24;25.0
5832613581757;25;26.0
5832635828140;26;27.0
5832662761490;27;28.0
5832683530159;28;29.0
5832706625593;29;30.0
5832741274311;30;31.0
5832842351651;31;32.0
5832870148540;32;33.0
5832895925514;33;34.0
5832917522345;34;35.0
5832939228302;35;36.0
5832963777889;36;37.0
5832987506945;37;38.0
5833009026449;38;39.0
5833031363597;39;40.0
5833060962166;40;41.0
5833082103157;41;42.0
5833184311597;42;43.0
5833206672629;43;44.0
5833231700362;44;45.0
5833261981520;45;46.0
5833289290531;46;47.0
5833314910334;47;48.0
5833333133981;48;49.0
5833355863625;49;50.0
5833374595219;50;51.0
5833397168238;51;52.0
5833416395879;52;53.0
5833436554240;53;54.0
5833462850538;54;55.0
5833489028274;55;56.0
5833508996423;56;57.0
5833612089231;57;58.0
5833639543410;58;59.0
5833665438100;59;60.0
5833691376698;60;61.0
5833716193571;61;62.0
5833738609113;62;63.0
5833771639241;63;64.0
5833796314302;64;65.0
5833822586657;65;66.0
5833848821123;66;67.0
5833877560590;67;68.0
5833899704634;68;69.0
5834003820548;69;70.0
5834025695388;70;71.0
5834046273735;71;72.0
5834069683038;72;73.0
5834091040484;73;74.0
5834110274599;74;75.0
5834130455193;75;76.0
5834154244821;76;77.0
5834177117053;77;78.0
5834287607458;78;79.0
5834390816976;79;80.0
5834410927399;80;81.0
5834433722701;81;82.0
5834456546235;82;83.0
5834481279163;83;84.0
5834583654471;84;85.0
5834604837438;85;86.0
5834626871405;86;87.0
5834647043994;87;88.0
5834673523202;88;89.0
5834781361459;89;90.0
5834812356325;90;91.0
5834838256205;91;92.0
5834866936846;92;93.0
5834892226822;93;94.0
5834915453730;94;95.0
5834937763848;95;96.0
5834963233222;96;97.0
5835065417307;97;98.0
5835087962542;98;99.0
5835112416195;99;100.0
5835132370274;100;101.0
