Sample 1 - CPU:  95.10 - MEM: 286.06
Sample 2 - CPU:  93.10 - MEM: 286.06
Sample 3 - CPU:  95.60 - MEM: 286.08
Sample 4 - CPU:  94.90 - MEM: 286.08
Sample 5 - CPU:  97.30 - MEM: 286.11
Sample 6 - CPU:  95.20 - MEM: 286.11
Sample 7 - CPU:  96.70 - MEM: 286.11
Sample 8 - CPU:  94.70 - MEM: 286.11
Sample 9 - CPU:  96.20 - MEM: 286.11
Sample 10 - CPU:  94.60 - MEM: 286.11
Sample 11 - CPU:  95.80 - MEM: 286.11
Sample 12 - CPU:  93.90 - MEM: 286.12
Sample 13 - CPU:  94.90 - MEM: 286.12
Sample 14 - CPU:  92.80 - MEM: 286.12
Sample 15 - CPU:  93.60 - MEM: 286.12
Sample 16 - CPU:  91.50 - MEM: 286.12
Sample 17 - CPU:  92.30 - MEM: 286.12
Sample 18 - CPU:  90.40 - MEM: 286.12
Sample 19 - CPU:  91.20 - MEM: 286.12
Sample 20 - CPU:  89.30 - MEM: 286.12
Sample 21 - CPU:  90.10 - MEM: 286.12
Sample 22 - CPU:  88.30 - MEM: 286.12
Sample 23 - CPU:  89.10 - MEM: 286.12
Sample 24 - CPU:  87.40 - MEM: 286.12
Sample 25 - CPU:  88.10 - MEM: 286.12
Sample 26 - CPU:  86.60 - MEM: 286.12
Sample 27 - CPU:  87.20 - MEM: 286.14
Sample 28 - CPU:  85.60 - MEM: 286.17
Sample 29 - CPU:  86.40 - MEM: 286.17
Sample 30 - CPU:  85.00 - MEM: 286.17
Sample 31 - CPU:  85.80 - MEM: 286.17
Sample 32 - CPU:  84.40 - MEM: 286.17
Sample 33 - CPU:  85.10 - MEM: 286.17
Sample 34 - CPU:  83.90 - MEM: 286.17
Sample 35 - CPU:  84.60 - MEM: 286.17
Sample 36 - CPU:  83.20 - MEM: 286.17
Sample 37 - CPU:  83.90 - MEM: 286.17
Sample 38 - CPU:  82.70 - MEM: 286.17
Sample 39 - CPU:  83.30 - MEM: 286.17
Sample 40 - CPU:  82.00 - MEM: 286.17
Sample 41 - CPU:  82.70 - MEM: 286.17
Sample 42 - CPU:  81.50 - MEM: 286.17
Sample 43 - CPU:  82.00 - MEM: 286.17
Sample 44 - CPU:  80.80 - MEM: 286.17
Sample 45 - CPU:  81.30 - MEM: 286.17
Sample 46 - CPU:  80.20 - MEM: 286.17
Sample 47 - CPU:  80.80 - MEM: 286.17
Sample 48 - CPU:  79.80 - MEM: 286.17
Sample 49 - CPU:  80.40 - MEM: 286.17
Sample 50 - CPU:  79.40 - MEM: 286.17
Sample 51 - CPU:  80.00 - MEM: 286.17
Sample 52 - CPU:  78.90 - MEM: 286.17
Sample 53 - CPU:  79.40 - MEM: 286.17
Sample 54 - CPU:  78.50 - MEM: 286.17
Sample 55 - CPU:  79.00 - MEM: 286.17
Sample 56 - CPU:  78.00 - MEM: 286.17
Sample 57 - CPU:  78.50 - MEM: 286.17
Sample 58 - CPU:  77.60 - MEM: 286.17
Sample 59 - CPU:  78.20 - MEM: 286.17
Sample 60 - CPU:  77.30 - MEM: 286.17
