13767785982144;0;1.0
13767895994846;1;2.0
13767929110004;2;3.0
13767933422767;3;4.0
13767935744810;4;5.0
13767936653938;5;6.0
13767937493422;6;7.0
13767938876523;7;8.0
13767939773654;8;9.0
13767941037087;9;10.0
13767941994638;10;11.0
13767942751579;11;12.0
13767943570351;12;13.0
13767944995297;13;14.0
13767958454886;14;15.0
13767959454635;15;16.0
13767961161134;16;17.0
13767962576085;17;18.0
13767963371426;18;19.0
13767964162706;19;20.0
13767967393437;20;21.0
13767968264378;21;22.0
13767969568801;22;23.0
13767971403839;23;24.0
13767972407028;24;25.0
13767974715978;25;26.0
13767975594943;26;27.0
13767976351079;27;28.0
13767978065010;28;29.0
13767979395884;29;30.0
13767981719697;30;31.0
13767983987800;31;32.0
13767986828016;32;33.0
13767988289477;33;34.0
13767989914839;34;35.0
13767990721805;35;36.0
13767991848981;36;37.0
13767993199238;37;38.0
13767994647625;38;39.0
13767995560425;39;40.0
13767998362419;40;41.0
13767999794146;41;42.0
13768001369979;42;43.0
13768002690578;43;44.0
13768004453125;44;45.0
13768006813705;45;46.0
13768008606456;46;47.0
13768010654706;47;48.0
13768013735844;48;49.0
13768015370186;49;50.0
13768017608466;50;51.0
13768018928005;51;52.0
13768019876669;52;53.0
13768020755519;53;54.0
13768021552408;54;55.0
13768023614900;55;56.0
13768028104642;56;57.0
13768029167961;57;58.0
13768029953920;58;59.0
13768031485317;59;60.0
13768032992134;60;61.0
13768035099233;61;62.0
13768037702455;62;63.0
13768038836816;63;64.0
13768039748841;64;65.0
13768040486847;65;66.0
13768042445648;66;67.0
13768043458486;67;68.0
13768044734946;68;69.0
13768049080808;69;70.0
13768050324396;70;71.0
13768050939852;71;72.0
13768051812731;72;73.0
13768053098397;73;74.0
13768053943386;74;75.0
13768054712683;75;76.0
13768056810599;76;77.0
13768058766012;77;78.0
13768061314774;78;79.0
13768063010629;79;80.0
13768065338094;80;81.0
13768066493990;81;82.0
13768068852377;82;83.0
13768070100242;83;84.0
13768071323434;84;85.0
13768072750667;85;86.0
13768074685840;86;87.0
13768077468031;87;88.0
13768078424808;88;89.0
13768079024340;89;90.0
13768079706293;90;91.0
13768080890735;91;92.0
13768082707768;92;93.0
13768084772412;93;94.0
13768085705367;94;95.0
13768086765245;95;96.0
13768087478228;96;97.0
13768088788611;97;98.0
13768089590456;98;99.0
13768091363327;99;100.0
13768093520091;100;101.0
